name	pos	part	name_agreement_percent	H	subjective_complexity	familiarity	age_of_acquisition	imageability	image_agreement	frequency	frequency_log	syllables	phonemes	arguments	reflexivity	instrumentality	name_relation
	categorical	categorical	int	float	float	float	float	float	float	float	float	int	int	categorical	categorical	categorical	categorical
1. автобус (a bus)	noun	2	100	0	2.65	4.79	1.43	1.07	4.46	64.8	1.8182258936	3	7	NR	NR	NR	NR
2. автомат (a sub-machine gun)	noun	2	53	1.72	3.3	2.76	2.21	1.56	3.64	56	1.7558748557	3	7	NR	NR	NR	NR
3. автомобиль (a car)	noun	2	60	1.04	2.7	4.72	1.7	1.11	3.04	156.9	2.19838213	4	9	NR	NR	NR	NR
4. акваланг (an aqualung)	noun	1	44	1.97	3.17	2.24	3.38	1.31	3.75	1.9	0.4623979979	3	8	NR	NR	NR	NR
5. аквариум (an aquarium)	noun	1	99	0.08	3.36	3.97	2.2	1.16	4	8.3	0.9684829486	4	8	NR	NR	NR	NR
6. акула (a shark)	noun	1	100	0	3.25	2.77	2.06	1.06	4.56	9.3	1.0128372247	3	5	NR	NR	NR	NR
7. ананас (a pineapple)	noun	1	99	0.08	2.89	4.25	2.51	1.08	4.73	3.6	0.6627578317	3	6	NR	NR	NR	NR
8. антенна (an antenna)	noun	1	99	0.08	2.23	3.68	2.32	1.25	3.89	8.5	0.9777236053	3	6	NR	NR	NR	NR
9. апельсин (an orange)	noun	1	50	1.86	2.88	4.43	1.38	1.03	3.75	7.6	0.9344984512	3	7	NR	NR	NR	NR
10. аптека (a pharmacy)	noun	2	86	0.87	3.41	4.49	1.9	1.18	3.99	15.1	1.206825876	3	6	NR	NR	NR	NR
11. арбуз (a watermelon)	noun	2	56	1.06	2.43	4.38	1.43	1.02	4.65	9.1	1.0043213738	2	5	NR	NR	NR	NR
12. арка (an arch)	noun	2	91	0.59	2.84	3.9	2.73	1.2	3.65	12.9	1.1430148003	2	4	NR	NR	NR	NR
13. арфа (a harp)	noun	1	99	0.08	2.93	3.29	3	1.57	4.36	2.6	0.5563025008	2	4	NR	NR	NR	NR
14. баба-яга (Baba-Yaga)	noun	2	67	1.57	4.05	3.33	1.33	1.19	4.32	2.5	0.5440680444	4	8	NR	NR	NR	NR
15. бабочка (a butterfly)	noun	1	97	0.22	3.28	4.33	1.27	1.07	4.79	21.3	1.348304863	3	7	NR	NR	NR	NR
16. бабушка (a grandmother)	noun	2	84	0.92	3.36	4.62	1.05	1.11	3.76	101.8	2.0119931147	3	7	NR	NR	NR	NR
17. багажник (a trunk)	noun	1	93	0.54	3.36	4.1	2.51	1.49	3.91	10.3	1.0530784435	3	8	NR	NR	NR	NR
18. балалайка (a balalaika)	noun	1	97	0.24	2.45	3.3	2.1	1.09	4.57	2.6	0.5563025008	4	9	NR	NR	NR	NR
19. балкон (a balcony)	noun	2	90	0.52	3.59	4.54	1.78	1.2	3.54	28.2	1.4653828514	2	6	NR	NR	NR	NR
20. банан (a banana)	noun	1	100	0	2.46	4.71	2.08	1	4.59	7.3	0.9190780924	2	5	NR	NR	NR	NR
