name	pos	part	name_agreement_percent	name_agreement_abs	subjective_complexity	familiarity	age	imageability	image_agreement	frequency	frequency_log	syllables	phonemes	arguments	reflexivity	instrumentality	name_relation
	categorical	categorical	int	float	float	float	float	float	float	float	float	int	int	categorical	categorical	categorical	categorical
1. автобус (a bus)	noun	2	100	0	2.65	4.79	1.43	1.07	4.46	64.8	1.8182258936	3	7	None	None	None	None
2. автомат (a sub-machine gun)	noun	2	53	1.72	3.3	2.76	2.21	1.56	3.64	56	1.7558748557	3	7	None	None	None	None
3. автомобиль (a car)	noun	2	60	1.04	2.7	4.72	1.7	1.11	3.04	156.9	2.19838213	4	9	None	None	None	None
4. акваланг (an aqualung)	noun	1	44	1.97	3.17	2.24	3.38	1.31	3.75	1.9	0.4623979979	3	8	None	None	None	None
5. аквариум (an aquarium)	noun	1	99	0.08	3.36	3.97	2.2	1.16	4	8.3	0.9684829486	4	8	None	None	None	None
1. барабанить (drum)	verb	None	84	0.89	2.16	2.85	1.81	1.1	4.5	2.7	0.5682017241	4	9	1	off	on	on
2. бежать (run)	verb	None	92	0.59	2.24	4.53	1.24	1.03	4.14	143.6	2.160168293	2	5	1	off	off	off
3. бинтовать (bandage tr)	verb	None	47	2.21	2.77	3.09	2.24	1.18	4.66	0.7	0.2304489214	3	8	2	off	on	on
4. бить (beat)	verb	None	57	1.49	2.66	3.48	1.34	1.12	4.09	107.5	2.0354297382	1	4	2	off	off	off
5. блеять (bleat)	verb	None	88	0.8	1.75	2.86	2.47	1.84	4.57	1.3	0.361727836	2	6	1	off	off	off
