0 — name	1 — name	2 — name	3 — name_agreement_percent	4 — name_agreement_abs	5 — subjective_visual_complexity	6 – objective_visual_complexity	7 — familiarity	8 — age	9 — imageability	10 — image_agreement	11 — frequency	12 — syllables	13 — phonemes	14 — arguments	15 — reflexivity	16 — instrumentality	17 — name_relation
1	барабанить	drum	84	0,89	2,16	344	2,85	1,81	1,10	4,50	2,7	4	9	1		+	+
2	бежать	run	92	0,59	2,24	118	4,53	1,24	1,03	4,14	143,6	2	5	1			
3	бинтовать	bandage tr	47	2,21	2,77	239	3,09	2,24	1,18	4,66	0,7	3	8	2		+	+
4	бить	beat	57	1,49	2,66	400	3,48	1,34	1,12	4,09	107,5	1	4	2			
5	блеять	bleat	88	0,8	1,75	168	2,86	2,47	1,84	4,57	1,3	2	6	1			
6	болеть	be ill	91	0,59	2,12	124	4,37	1,66	1,23	3,17	68,5	3	7	1			
7	бомбить	bomb	73	1,34	2,99	251	2,68	1,42	1,31	4,29	6,4	2	6	2		+	+
8	бороться	wrestle	82	1,01	2,96	246	3,31	2,36	1,62	4,26	70,3	3	6	1	+		
9	бояться	be afraid	74	1,66	3,10	344	3,68	1,36	1,78	3,00	266,5	3	5	2	+		
10	брить	shave tr	93	0,45	2,24	259	3,15	2,29	1,22	3,51	3,4	2	6	2		+	+
11	бриться	shave intr	98	0,14	1,92	208	3,96	1,23	1,26	3,03	5,5	3	7	1	+	+	+
12	буксовать	skid	54	2,53	3,04	556	2,93	3,02	1,54	4,38	1,7	3	8	1			
